[run number],number-of-voters,calibration,marginal-pivotality,variance-of-perceived-pivotality,voting-mechanism,[step],mean payoff-sign-list,mean payoff-list,standard-deviation payoff-list,mean vote-sum-list,standard-deviation vote-sum-list,mean mean-median-same-sign-list
92,41,1. prop8-mean>0,0.5,0.07,QV,1000,0.883,6.149199991,7.385018566,2.404327416,4.897073517,0.679
94,41,1. prop8-mean>0,0.5,0.08,QV,1000,0.852,5.987811329,7.447131058,2.408226223,4.750240331,0.656
95,41,1. prop8-mean>0,0.5,0.083,1p1v,1000,0.678,2.461432379,9.120059423,-1.446,6.653220976,0.678
97,51,1. prop8-mean>0,0.5,0,1p1v,1000,0.619,2.313769778,10.32902771,-2.328,7.024368851,0.619
96,41,1. prop8-mean>0,0.5,0.083,QV,1000,0.871,5.90701927,6.98622739,2.271295043,4.54096844,0.668
98,51,1. prop8-mean>0,0.5,0,QV,1000,1,7.710996451,7.220845375,2.979942286,4.361874978,0.617
99,51,1. prop8-mean>0,0.5,3.00E-04,1p1v,1000,0.638,2.260437447,10.30292839,-2.078,7.136725359,0.638
101,51,1. prop8-mean>0,0.5,0.001,1p1v,1000,0.632,2.071615924,10.29893953,-1.84,7.043863714,0.632
100,51,1. prop8-mean>0,0.5,3.00E-04,QV,1000,0.991,7.823613339,7.738894326,3.035617354,4.596024635,0.617
102,51,1. prop8-mean>0,0.5,0.001,QV,1000,0.987,7.469888208,7.167138623,2.92033358,4.268390272,0.623
103,51,1. prop8-mean>0,0.5,0.01,1p1v,1000,0.615,2.26102784,10.491171,-2.07,7.03338955,0.615
105,51,1. prop8-mean>0,0.5,0.02,1p1v,1000,0.634,2.156848804,10.08522471,-1.97,7.381435198,0.634
104,51,1. prop8-mean>0,0.5,0.01,QV,1000,0.951,7.462657894,7.683951088,2.884541114,4.574223799,0.625
107,51,1. prop8-mean>0,0.5,0.03,1p1v,1000,0.602,1.680620314,10.31526043,-2.302,6.947594193,0.602
106,51,1. prop8-mean>0,0.5,0.02,QV,1000,0.941,7.257490415,7.340260353,2.817005911,4.502416692,0.645
109,51,1. prop8-mean>0,0.5,0.04,1p1v,1000,0.649,2.573814884,10.11438933,-1.736,7.234268355,0.649
108,51,1. prop8-mean>0,0.5,0.03,QV,1000,0.934,7.702145127,7.759577185,3.048621494,4.92968851,0.647
110,51,1. prop8-mean>0,0.5,0.04,QV,1000,0.906,7.225984981,7.717911562,2.847997334,4.769875411,0.644
111,51,1. prop8-mean>0,0.5,0.05,1p1v,1000,0.632,1.926957461,10.24111986,-2.308,6.958847718,0.632
113,51,1. prop8-mean>0,0.5,0.06,1p1v,1000,0.627,1.992144678,10.21094342,-2.29,7.230503453,0.627
112,51,1. prop8-mean>0,0.5,0.05,QV,1000,0.905,7.483007049,7.705991383,2.925707594,4.956115916,0.608
