"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling.nlogo"
"does-polling-converge"
"08/06/2019 10:32:16:004 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","number-of-voters","proportion-of-strategic-voters","vote-portion-strategic","number-of-issues","poll-response-rate","utility-distribution","[step]","poll","total-utility-gain","maximal-utility?"
"44","1500","0.1","1","2","1","Normal mean = 0","50","[-26.515786052845524 -27.5018530915797]","[5.421955268499838 10.207463207140583]","true"
"47","1500","0.1","1","2","1","Normal mean = 0","50","[-5.210454623113792 30.599657995919117]","[5.83115172554756 3.9115735649380596]","true"
"45","1500","0.1","1","2","1","Normal mean = 0","50","[23.29198349136652 -24.157808596165506]","[5.574653144178358 15.546042987722945]","true"
"48","1500","0.1","1","2","1","Normal mean = 0","50","[-1.5413392905199612 -31.541961161591168]","[0.263208121432675 6.573950895442087]","true"
"49","1500","0.1","1","2","1","Normal mean = 0","50","[-11.327467619931198 62.70467156804588]","[-5.133550414989387 19.19593609748348]","false"
"51","1500","0.1","1","2","1","Normal mean = 0","50","[4.415357105219073 -5.895910428788022]","[-0.445711886192241 6.269957676213776]","false"
"50","1500","0.1","1","2","1","Normal mean = 0","50","[-35.973967968898386 22.04464984048787]","[5.92539925114392 11.91176821268386]","true"
"52","1500","0.1","1","2","1","Normal mean = 0","50","[-30.252439454913304 6.149235663043649]","[6.310197672222399 9.66966437679628]","true"
"53","1500","0.1","1","2","1","Normal mean = 0","50","[-40.475791060469504 38.06435096924429]","[8.37869658629518 13.506720842837051]","true"
"54","1500","0.1","1","2","1","Normal mean = 0","50","[9.189293624162582 40.668316640885664]","[1.5674104238473172 13.419775155959481]","true"
"58","1500","0.1","1","2","1","Normal mean = 0","50","[-8.754407150542011 34.628437359465416]","[3.207614472363944 -0.13609858210071807]","false"
"55","1500","0.1","1","2","1","Normal mean = 0","50","[2.528882298218604 -0.7620914904541817]","[0.8990165637224932 3.9875006809606472]","true"
"56","1500","0.1","1","2","1","Normal mean = 0","50","[-24.38476286275055 26.253242740375306]","[14.04415619298371 10.302024792670231]","true"
"57","1500","0.1","1","2","1","Normal mean = 0","50","[2.3562905288119813 5.250101654551283]","[-1.1683805186682172 -2.107352243642862]","false"
"59","1500","0.1","1","2","1","Normal mean = 0","50","[28.26740626074529 23.645735767630203]","[8.046736011933554 6.6153271463722385]","true"
"61","1500","0.1","1","2","1","Normal mean = 0","50","[12.616109836377145 -8.313442127084398]","[3.8144449449743534 -0.18993891896500406]","false"
"60","1500","0.1","1","2","1","Normal mean = 0","50","[6.397971881551913 -11.5121978955021]","[6.517203707044827 0.8485580718982129]","true"
"63","1500","0.1","1","2","1","Normal mean = 0","50","[73.37567540340228 -0.6835541152657851]","[17.43997737316937 -1.8253187298880393]","false"
"62","1500","0.1","1","2","1","Normal mean = 0","50","[-13.596661803552164 21.289001139757204]","[3.1231401398760785 5.002395876496131]","true"
"64","1500","0.1","1","2","1","Normal mean = 0","50","[-26.08051737061228 -24.949210268317326]","[3.1226752232308517 5.981556318202302]","true"
"65","1500","0.1","1","2","1","Normal mean = 0","50","[14.333971112955009 -37.00550363081971]","[8.132694153243477 7.545755398141869]","true"
"66","1500","0.1","1","2","1","Normal mean = 0","50","[-17.96706891291148 10.41555989982453]","[2.7863428881229386 -0.07546664722237029]","false"
"67","1500","0.1","1","2","1","Normal mean = 0","50","[-22.515214455684596 31.11746478152578]","[10.559863858156982 8.05007586340358]","true"
"72","1500","0.1","1","2","1","Normal mean = 0","50","[36.72189127213176 -44.18882412086784]","[7.308752677281756 12.33146625526405]","true"
"71","1500","0.1","1","2","1","Normal mean = 0","50","[-4.9861451621362916 -12.67151626219309]","[-0.7773483168761478 2.5563468451318654]","false"
"69","1500","0.1","1","2","1","Normal mean = 0","50","[16.732039274919753 25.182506900900695]","[-0.6590211124288342 3.8802746252329627]","false"
"68","1500","0.1","1","2","1","Normal mean = 0","50","[-16.103390412864357 34.342915836879854]","[2.1964116890756613 0.35292629745842924]","true"
"74","1500","0.1","1","2","1","Normal mean = 0","50","[-0.19672289049133362 4.918141626418477]","[-5.613507376602683 0.899098897566975]","false"
"70","1500","0.1","1","2","1","Normal mean = 0","50","[22.09413593977563 -21.81141618463165]","[5.1074418926276905 7.460239380251868]","true"
"73","1500","0.1","1","2","1","Normal mean = 0","50","[55.569729524463774 39.17658431257313]","[17.86753289262257 8.065459788263826]","true"
"75","1500","0.1","1","2","1","Normal mean = 0","50","[-23.421333767363283 32.55861265021318]","[2.235648879227477 9.047582012465124]","true"
"76","1500","0.1","1","2","1","Normal mean = 0","50","[13.397540670131852 -21.901538810826]","[7.465759397697577 3.0581232830260126]","true"
"77","1500","0.1","1","2","1","Normal mean = 0","50","[16.459007477504514 6.828536544230107]","[4.887357002368089 -2.4561291100999205]","false"
"79","1500","0.1","1","2","1","Normal mean = 0","50","[-1.7029098332434565 -1.7662747259665164]","[-4.968142757356644 -4.848853783376883]","false"
"78","1500","0.1","1","2","1","Normal mean = 0","50","[-13.387935524005089 -13.134475628409572]","[9.07461055124196 5.732511896452072]","true"
"80","1500","0.1","1","2","1","Normal mean = 0","50","[8.258935654558623 -28.310489644786852]","[-2.695243682208898 8.962090637564557]","false"
"81","1500","0.1","1","2","1","Normal mean = 0","50","[24.579888683999986 -40.03232721817824]","[5.520987068126569 12.451944417158632]","true"
"82","1500","0.1","1","2","1","Normal mean = 0","50","[-48.55546686043394 -26.712266319638257]","[4.518923818208542 0.9908771817293491]","true"
"84","1500","0.1","1","2","1","Normal mean = 0","50","[2.369051202642203 4.523995637903047]","[-0.4634730551244901 2.013776270238156]","false"
"87","1500","0.1","1","2","1","Normal mean = 0","50","[-14.591068582840236 0.10811068415679925]","[3.5056666465734154 1.692342283794354]","true"
"83","1500","0.1","1","2","1","Normal mean = 0","50","[5.316956796133374 7.412350879213303]","[1.935505777817665 3.8967359054344963]","true"
"85","1500","0.1","1","2","1","Normal mean = 0","50","[-0.8976773269453164 28.157300375643707]","[9.00208309576337 4.390514054835182]","true"
"86","1500","0.1","1","2","1","Normal mean = 0","50","[16.35594861847305 20.24609965825382]","[-1.213208959636339 3.4617175239043534]","false"
"88","1500","0.1","1","2","1","Normal mean = 0","50","[-4.2922534025233965 -33.80106842900515]","[2.3246774157832757 1.0642839215491169]","true"
"92","1500","0.1","1","2","1","Normal mean = 0","50","[-8.355634695941404 -24.399463005174493]","[-2.8231416799186224 4.433145751113349]","false"
"96","1500","0.1","1","2","1","Normal mean = 0","50","[-9.77643752951308 -6.952058362515567]","[2.5049369794131557 7.128231606526154]","true"
"95","1500","0.1","1","2","1","Normal mean = 0","50","[-18.408082326777226 6.405697954438358]","[9.47793030280228 0.5988175200009958]","true"
"90","1500","0.1","1","2","1","Normal mean = 0","50","[-41.3532923298475 -17.765656495511056]","[15.614223995154022 2.1949078703581746]","true"
"89","1500","0.1","1","2","1","Normal mean = 0","50","[5.93339918074137 25.325078779797018]","[4.877139932097859 1.731559652183021]","true"
"91","1500","0.1","1","2","1","Normal mean = 0","50","[31.56559955510937 14.567251884832054]","[16.95316168163203 0.30884672134022634]","true"
