"BehaviorSpace results (NetLogo 6.1.0)"
"QVoting with Polling and Collusion.nlogo"
"QV-Collusion"
"08/14/2019 15:23:24:992 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-32","32","-32","32"
"[run number]","vote-portion-strategic","number-of-voters","proportion-of-strategic-voters","party-turtles-created-per-cycle","QV?","number-of-issues","utility-distribution","collusion-growth","[step]","[shapley-value] of party-turtles","mean [count link-neighbors] of party-turtles","[count link-neighbors] of party-turtles","count party-turtles","total-utility-gain","length map [x -> x > 0] total-utility-gain"
"3","0","10000","0","1","true","2","Normal mean = 0","1","6","[[-0.10128847933498539 0.1572646977475977] [-1.262199104339619 -0.6635568286970064] [0.6813378840164225 0.1408641310000593] [0.06866196226021873 0.08658571072021809] 0 [0.052452895872000097 0.024364094017127698]]","3.5","[6 5 1 2 4 3]","6","[-9.190030394085486 42.97353328057674]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","6","[[0.32596074518648865 0.27480670723983164] [-0.1204601892142182 0.07000647771794863] [-0.2508262636686212 0.1480158620380223] 0 [-0.33868235199701296 0.31243663453829157] [0.7017385038802377 -0.21161309484544874]]","3.5","[6 2 1 3 4 5]","6","[12.117840075699345 -6.248016447169174]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","7","[[-0.01955643394263567 0.009695778170847534] [-4.662360068747397 -0.5090861963835592] [1.4731462922985337 0.13957899275302155] [0.08559960792300983 0.022289289273828818] [1.005777912815752 0.1757782379496055] [0.5387568567992016 0.19792153836048448] 0]","4","[3 6 5 1 4 7 2]","7","[-9.19003039408557 42.97353328057688]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","7","[[0.21800019578038524 0.030890976184045134] [-0.437965890266774 0.53464032227762] [0.24307967987360962 0.6894137575260687] 0 [0.05863295449844334 -4.94341252347038E-4] [0.28251224804803327 0.0795524965880037] [0.01005243043181717 -0.06945800960077672]]","4","[4 6 1 2 5 3 7]","7","[-7.446936295104468 8.602468751704526]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","7","[[-3.7622979857154157 -0.2706639360595083] [-0.2991055106148052 -0.14324400349782604] 0 [0.27215058612236426 -0.0031493253223872975] [0.42636769760825904 0.054912943199540105] [-0.13233856404485703 -0.0137443402030571] [2.685822496203354 -0.051368381482162724]]","4","[6 5 1 4 2 3 7]","7","[-6.1222656171718 18.032415643206107]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","7","[[0.17709542366090292 0.4407763828054686] [0.524076930398209 -0.17275545695122196] 0 [0.03832432614353759 0.27594149514947697] [0.11286295046328702 -0.0982641884137305] [-0.09330238347725152 0.07122438077445525] [-0.2391443480210596 0.4866992224513814]]","4","[7 6 2 5 1 4 3]","7","[12.117840075699394 -6.248016447169221]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","8","[[-0.06456610564321433 7.604942651222166E-4] 0 [-0.12205051434995648 -0.0417030660054157] [0.3668174157490388 0.40239116378835443] [-0.19158337390954824 0.3338377649338707] [-0.9992486572330184 -0.27588463325423085] [-0.0017880037177444282 -0.0020203005201500676] [0.24622657765420114 0.14700131313496664]]","4.5","[3 1 2 7 4 5 8 6]","8","[-9.190030394085635 42.97353328057684]","2"
"2","0","10000","0","1","true","2","Normal mean = 0","1","8","[[-1.3085693249357853 -0.27683305999409163] [0.3112063438558529 0.07799256099542874] [-0.12774579667241098 -0.02839451722032632] [-0.2372596484453588 -0.18211854258994134] [-0.09651889791343653 -0.023505883238177896] [0.20968229585979342 -0.22687093972807415] 0 [0.03879564636138839 -0.01966460082470309]]","4.5","[7 4 2 3 1 5 6 8]","8","[-6.122265617171831 18.032415643206082]","2"
"4","0","10000","0","1","true","2","Normal mean = 0","1","8","[[0.16925917153964679 0.07819170005988982] [-0.1963976563861389 0.625311631408349] [0.43222802498765733 0.6428556878976144] [0.24067611717378334 -0.2744549630961295] 0 [0.0014791729043435117 -0.003514505837098644] [-0.0012870645162809228 0.3825397292961532] [0.1319377362729238 -0.07078870341991161]]","4.5","[6 7 2 1 3 5 4 8]","8","[-7.446936295104491 8.60246875170448]","2"
"1","0","10000","0","1","true","2","Normal mean = 0","1","8","[[0.021493583110992105 0.1947566678570116] 0 [-0.11110446492832457 0.034305184766342] [0.12131752129079905 -0.021196011305329502] [-0.11052939226345594 0.6074565345644171] [-0.28532133313647534 0.24452120756299267] [0.5584375096925989 -0.24128879787050866] [0.33523416670226736 0.0371060754456485]]","4.5","[5 1 2 7 3 4 6 8]","8","[12.117840075699364 -6.248016447169223]","2"
"3","0","10000","0","1","true","2","Normal mean = 0","1","9","[[-0.00788710721135537 -0.05677639321823945] [0.2679171919211375 0.24220779377451684] [-0.04611828727568119 -0.04968835336104654] [-0.5364796988443296 -0.08449337462839197] 0 [-0.026645625553468655 0.03399598346881875] [-0.32300494954752956 0.27871204790600607] [0.08438485642630388 0.40493337175870897] [-0.09036182683433483 -0.0532782575551777]]","5","[2 6 8 5 9 7 1 4 3]","9","[-9.190030394085602 42.97353328057675]","2"
